16, 0.91, 2.03, 0.76, 81.565, 228132
24, 1.57, 2.87, 1.35, 160.422, 391972
32, 2.49, 4.03, 2.13, 253.853, 621348
40, 3.67, 4.79, 2.71, 382.495, 916260
48, 5.11, 5.74, 3.51, 551.081, 1276708
56, 6.81, 7.34, 4.12, 745.911, 1702692
64, 8.78, 7.95, 4.98, 980.766, 2194212
72, 11.01, 9.93, 6.05, 1231.228, 2751268
80, 13.5, 11.35, 7.14, 1516.303, 3373860
88, 16.25, 13.29, 8.31, 1821.476, 4061988
96, 19.26, 15.53, 9.6, 2170.815, 4815652
104, 22.54, 17.35, 11.39, 2528.723, 5634852
112, 26.08, 20.01, 12.43, 2908.716, 6519588
120, 29.88, 22.6, 14.16, 3332.237, 7469860
128, 33.94, 25.43, 16.13, 4044.292, 8485668
16, 0.91, 2.0, 0.75, 84.372, 228132
24, 1.57, 3.31, 1.91, 160.007, 391972
32, 2.49, 4.12, 2.19, 256.921, 621348
40, 3.67, 4.83, 2.72, 386.705, 916260
48, 5.11, 8.61, 4.62, 563.22, 1276708
56, 6.81, 6.74, 4.15, 773.108, 1702692
64, 8.78, 8.4, 4.96, 995.882, 2194212
72, 11.01, 9.79, 6.01, 1276.497, 2751268
80, 13.5, 13.48, 8.8, 1583.625, 3373860
88, 16.25, 13.54, 8.19, 1884.344, 4061988
96, 19.26, 15.09, 9.48, 2178.914, 4815652
104, 22.54, 17.32, 10.96, 2564.21, 5634852
112, 26.08, 19.76, 12.09, 3017.319, 6519588
120, 29.88, 27.22, 14.26, 3380.32, 7469860
128, 33.94, 27.29, 20.64, 4156.608, 8485668
16, 0.91, 2.1, 0.74, 82.049, 228132
24, 1.57, 3.45, 1.54, 188.122, 391972
32, 2.49, 5.13, 2.74, 271.012, 621348
40, 3.67, 4.78, 2.83, 390.196, 916260
48, 5.11, 5.75, 3.22, 569.357, 1276708
56, 6.81, 7.53, 4.09, 769.087, 1702692
64, 8.78, 8.32, 4.99, 1015.114, 2194212
72, 11.01, 9.91, 5.99, 1237.18, 2751268
80, 13.5, 11.94, 7.69, 1562.967, 3373860
88, 16.25, 12.92, 7.96, 1838.188, 4061988
96, 19.26, 15.5, 9.61, 2187.234, 4815652
104, 22.54, 18.84, 11.69, 2559.048, 5634852
112, 26.08, 19.9, 12.21, 2981.892, 6519588
120, 29.88, 22.48, 14.33, 3476.028, 7469860
128, 33.94, 25.19, 18.62, 4641.05, 8485668
